frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13481","Jul  4, 2024 10:45:14.045085364 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13482","Jul  4, 2024 10:45:14.045104664 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13483","Jul  4, 2024 10:45:14.045537867 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13484","Jul  4, 2024 10:45:14.045557968 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13485","Jul  4, 2024 10:45:14.051371711 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13486","Jul  4, 2024 10:45:14.051372311 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13487","Jul  4, 2024 10:45:14.051372411 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13488","Jul  4, 2024 10:45:14.051372511 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13489","Jul  4, 2024 10:45:14.051434311 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13490","Jul  4, 2024 10:45:14.051460111 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13491","Jul  4, 2024 10:45:14.052104416 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13492","Jul  4, 2024 10:45:14.052131916 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13493","Jul  4, 2024 10:45:14.052553819 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13494","Jul  4, 2024 10:45:14.057442956 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13495","Jul  4, 2024 10:45:14.057443656 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13496","Jul  4, 2024 10:45:14.057443756 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13497","Jul  4, 2024 10:45:14.057443756 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13498","Jul  4, 2024 10:45:14.057443856 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13499","Jul  4, 2024 10:45:14.057501056 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13500","Jul  4, 2024 10:45:14.057525756 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13501","Jul  4, 2024 10:45:14.057886459 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13502","Jul  4, 2024 10:45:14.057913459 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13503","Jul  4, 2024 10:45:14.058330762 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13504","Jul  4, 2024 10:45:14.063332399 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13505","Jul  4, 2024 10:45:14.063332999 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13506","Jul  4, 2024 10:45:14.063333099 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13507","Jul  4, 2024 10:45:14.063388700 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13508","Jul  4, 2024 10:45:14.063411400 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13509","Jul  4, 2024 10:45:14.063931304 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13510","Jul  4, 2024 10:45:14.069222343 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13511","Jul  4, 2024 10:45:14.069223143 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13512","Jul  4, 2024 10:45:14.069223243 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13513","Jul  4, 2024 10:45:14.069278043 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13514","Jul  4, 2024 10:45:14.069301844 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13515","Jul  4, 2024 10:45:14.070009149 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13516","Jul  4, 2024 10:45:14.070030049 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"13517","Jul  4, 2024 10:45:14.075169787 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13518","Jul  4, 2024 10:45:14.075170487 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13519","Jul  4, 2024 10:45:14.075170487 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13520","Jul  4, 2024 10:45:14.075170587 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13521","Jul  4, 2024 10:45:14.075230787 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13522","Jul  4, 2024 10:45:14.075252988 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13523","Jul  4, 2024 10:45:14.075608890 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13524","Jul  4, 2024 10:45:14.075737391 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13525","Jul  4, 2024 10:45:14.081246132 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13526","Jul  4, 2024 10:45:14.081246732 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13527","Jul  4, 2024 10:45:14.081246832 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13528","Jul  4, 2024 10:45:14.081246932 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13529","Jul  4, 2024 10:45:14.081309932 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13530","Jul  4, 2024 10:45:14.081334433 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13531","Jul  4, 2024 10:45:14.081947337 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13532","Jul  4, 2024 10:45:14.081971637 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13533","Jul  4, 2024 10:45:14.087190176 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13534","Jul  4, 2024 10:45:14.087190776 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13535","Jul  4, 2024 10:45:14.087190876 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13536","Jul  4, 2024 10:45:14.087190976 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13537","Jul  4, 2024 10:45:14.087191076 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13538","Jul  4, 2024 10:45:14.087264877 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13539","Jul  4, 2024 10:45:14.087384378 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13540","Jul  4, 2024 10:45:14.087713280 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13541","Jul  4, 2024 10:45:14.087739580 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13542","Jul  4, 2024 10:45:14.088095683 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13543","Jul  4, 2024 10:45:14.093149420 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13544","Jul  4, 2024 10:45:14.093150020 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13545","Jul  4, 2024 10:45:14.093150120 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13546","Jul  4, 2024 10:45:14.093206021 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
