frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"5571","Jul  4, 2024 10:46:37.516034148 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5572","Jul  4, 2024 10:46:37.516243248 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"5573","Jul  4, 2024 10:46:37.516253848 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5574","Jul  4, 2024 10:46:37.516257548 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5575","Jul  4, 2024 10:46:37.516360448 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5576","Jul  4, 2024 10:46:37.516366448 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5577","Jul  4, 2024 10:46:37.516474148 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5578","Jul  4, 2024 10:46:37.528941950 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5579","Jul  4, 2024 10:46:37.528950850 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5580","Jul  4, 2024 10:46:37.533790251 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5581","Jul  4, 2024 10:46:37.533790351 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5582","Jul  4, 2024 10:46:37.533799651 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5583","Jul  4, 2024 10:46:37.533804751 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5584","Jul  4, 2024 10:46:37.539815251 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5585","Jul  4, 2024 10:46:37.539815351 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5586","Jul  4, 2024 10:46:37.539815351 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5587","Jul  4, 2024 10:46:37.539815451 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5588","Jul  4, 2024 10:46:37.539815451 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5589","Jul  4, 2024 10:46:37.539826151 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5590","Jul  4, 2024 10:46:37.539832351 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5591","Jul  4, 2024 10:46:37.539837451 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5592","Jul  4, 2024 10:46:37.539961051 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5593","Jul  4, 2024 10:46:37.539967051 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5594","Jul  4, 2024 10:46:37.540152851 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5595","Jul  4, 2024 10:46:37.540158651 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5596","Jul  4, 2024 10:46:37.545767952 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5597","Jul  4, 2024 10:46:37.545768052 CEST","10.22.255.154","172.24.204.146","6","52","66"
